clean_answer,varnum,clean_answer_binned,abbr,Group,clean_group,ES,ESdescription,Title,FirstAuthor,SourcePublication,PublicationYear
physical site variables = slope,3,Topography and position,OtherDriver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
water depth,4,Abiotic characteristics of the landscape: aquatic,OtherDriver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
stream width,5,Hydrology,OtherDriver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
stream flow; chemical variables = alkalinity,6,Hydrology,OtherDriver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
pH,7,Aquatic biogeochemistry,OtherDriver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
conductivity,8,Aquatic biogeochemistry,OtherDriver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
TOC,9,Soil characteristics,OtherDriver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
TN,10,Soil characteristics,OtherDriver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
NO2 + NO3,11,Soil characteristics,OtherDriver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
NH4,12,Soil characteristics,OtherDriver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
TP,13,Soil characteristics,OtherDriver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
PO4,14,Soil characteristics,OtherDriver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
Temperature,15,Climate,OtherDriver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
HDO saturation,16,Abiotic characteristics of the landscape: aquatic,OtherDriver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
and 19 hydro regime parameters from DHRAM model (The Dundee Hydrological Regime Assessment Method),17,Hydrology,OtherDriver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
stand age,18,Land use and land cover change,OtherDriver,Human,Human,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
tree volume,19,Land use and land cover change,OtherDriver,Human,Human,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
ditching,20,Human disturbance,OtherDriver,Human,Human,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
Volume of water regulated,21,Management/restoration,OtherDriver,Human,Human,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
Volume of water deviation between current flow regime natural regime,22,Management/restoration,OtherDriver,Human,Human,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
Water stored,23,Management/restoration,OtherDriver,Human,Human,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
Land use change,1,Land use and land cover change,Driver,Human,Human,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]","Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]","Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
physical site variables = slope,3,Topography and position,OtherDriver,Environmental,Environmental,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]","Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
water depth,4,Abiotic characteristics of the landscape: aquatic,OtherDriver,Environmental,Environmental,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]","Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
stream width,5,Hydrology,OtherDriver,Environmental,Environmental,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]","Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
stream flow; chemical variables = alkalinity,6,Hydrology,OtherDriver,Environmental,Environmental,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]","Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
pH,7,Aquatic biogeochemistry,OtherDriver,Environmental,Environmental,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]","Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
conductivity,8,Aquatic biogeochemistry,OtherDriver,Environmental,Environmental,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]","Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
TOC,9,Soil characteristics,OtherDriver,Environmental,Environmental,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]","Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
TN,10,Soil characteristics,OtherDriver,Environmental,Environmental,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]","Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
NO2 + NO3,11,Soil characteristics,OtherDriver,Environmental,Environmental,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]","Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
NH4,12,Soil characteristics,OtherDriver,Environmental,Environmental,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]","Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
TP,13,Soil characteristics,OtherDriver,Environmental,Environmental,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]","Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
PO4,14,Soil characteristics,OtherDriver,Environmental,Environmental,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]","Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
Temperature,15,Climate,OtherDriver,Environmental,Environmental,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]","Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
